Time,CPU_usec_used,Memory_Bytes,Energy_uJ,inference_time_sec
1751287591,752095605,1025105920,17414117712,0.704541444778442
1751287592,752402457,1026428928,17420154134,0.797004222869873
1751287593,752702893,1027133440,17427652284,0.884112358093262
1751287594,753002984,1027801088,17435362713,0.709736108779907
1751287595,753302207,1028550656,17441743251,0.795478820800781
1751287596,753602302,1029783552,17447919017,0.795920610427856
1751287597,753909720,1030443008,17454725701,0.708316326141357
1751287598,754220628,1031282688,17461511511,0.880949258804321
1751287599,754529670,1031905280,17467940206,0.715065717697144
1751287600,754832911,1033166848,17474054143,0.790734052658081
1751287601,755133083,1033830400,17480359058,0.708297252655029
1751287602,755433087,1034498048,17486634311,0.793767690658569
1751287603,755733151,1035427840,17493059038,0.781229019165039
1751287604,756032322,1036570624,17499481141,0.714895248413086
1751287605,756345154,1037230080,17505868820,0.793150901794434
1751287606,756653606,1037893632,17511900420,0.803088426589966
1751287607,756962212,1038643200,17518166457,0.805503368377686
1751287608,757262249,1039863808,17524626584,0.889374017715454
1751287609,757562365,1041121280,17530976788,0.885885000228882
1751287610,757862548,1042399232,17537410121,0.794857025146484
1751287611,758162861,1044963328,17543653025,0.713533401489258
1751287612,758472708,1045012480,17549250972,0.804399490356445
1751287613,758782169,1046323200,17555592813,0.798733711242676
1751287614,759091217,1046343680,17562152428,0.784080982208252
1751287615,759392843,1048334336,17568808234,0.795463562011719
1751287616,759692164,1048989696,17575333241,0.714052200317383
1751287617,759992246,1049010176,17581720493,0.801348686218262
1751287618,760292330,1050288128,17588974808,0.894022226333618
1751287619,760594705,1053474816,17596671199,0.800846338272095
1751287620,760907245,1054765056,17604086830,0.800698041915894
1751287621,761214619,1056309248,17611671832,0.797174453735352
1751287622,761522674,1056088064,17618458619,0.7939133644104
1751287623,761822987,1056337920,17625031906,0.786171674728394
1751287624,762122905,1057558528,17631614408,0.710395336151123
1751287625,762423099,1059016704,17638080761,0.79731297492981
1751287626,762722934,1060429824,17644184628,0.804343938827515
1751287627,763029238,1061822464,17650065167,0.879239559173584
1751287628,763340121,1061945344,17656195827,0.80815315246582
1751287629,763645094,1062998016,17662980844,0.792010068893433
1751287630,763952948,1064177664,17669506462,0.799814224243164
1751287631,764252614,1065533440,17676017005,0.788089513778687
1751287632,764552485,1067024384,17682582967,0.806334257125855
1751287633,764852815,1070129152,17688919254,0.713490724563599
1751287634,765152860,1060864000,17696558212,0.817578315734863
1751287635,765456050,1064116224,17704272425,0.805367469787598
1751287636,765768352,1066213376,17711649299,0.791589736938477
1751287637,766075605,1068617728,17718167043,0.788137435913086
1751287638,766382757,1068740608,17724465733,0.71293830871582
1751287639,766682263,1070309376,17730774982,0.79775857925415
1751287640,766983074,1071890432,17737210085,0.705277681350708
1751287641,767282370,1071845376,17743588609,0.793548583984375
1751287642,767583026,1073266688,17749544343,0.787125587463379
1751287643,767894349,1073639424,17757179517,0.715453147888184
1751287644,768204708,1073729536,17763720760,0.808090686798096
1751287645,768512850,1073496064,17770467752,0.907580852508545
1751287646,768812916,1073577984,17777081992,1.18450260162354
1751287647,769112197,1073741824,17783666876,1.20209956169128
1751287648,769412459,1073557504,17791052538,0.897192239761353
1751287649,769713086,1073430528,17798217192,0.706061124801636
1751287650,770014413,1073594368,17805088574,0.784459352493286
1751287651,770327828,1073610752,17811483027,0.79856014251709
1751287652,770636989,1073549312,17818302224,0.716928243637085
1751287653,770943064,1073483776,17824780784,0.78767204284668
1751287654,771242540,1073512448,17829956064,0.792227983474731
1751287655,771542532,1073573888,17837008414,0.711912155151367
1751287656,771842884,1073692672,17844332248,0.790676116943359
1751287657,772152427,1073451008,17850829667,0.796621799468994
1751287658,772461647,1073729536,17857308289,0.796347618103027
1751287659,772771423,1073586176,17863717940,0.790583848953247
