time,cpu_request,cpu_usage,memory_request,memory_usage,model,model_acc,processing_delay(ms)
1721423796.4268,500m,432m,1000Mi,347Mi,small,44.9,849.783420562744
1721423799.46803,500m,432m,1000Mi,347Mi,small,44.9,853.866100311279
1721423802.50796,500m,432m,1000Mi,347Mi,small,44.9,870.67437171936
1721423805.6036,500m,237m,1000Mi,350Mi,small,44.9,935.072898864746
1721423808.65101,500m,237m,1000Mi,350Mi,small,44.9,904.917240142822
1721423811.68985,500m,237m,1000Mi,350Mi,small,44.9,906.217813491821
1721423814.78814,500m,237m,1000Mi,350Mi,small,44.9,853.930473327637
1721423817.82651,500m,237m,1000Mi,350Mi,small,44.9,872.644901275635
1721423820.86846,500m,237m,1000Mi,350Mi,small,44.9,851.930618286133
1721423823.92178,500m,237m,1000Mi,350Mi,small,44.9,792.552709579468
1721423826.96352,500m,237m,1000Mi,350Mi,small,44.9,848.887205123901
1721423829.99754,500m,237m,1000Mi,350Mi,small,44.9,853.021860122681
1721423833.04401,500m,237m,1000Mi,350Mi,small,44.9,862.682819366455
1721423836.08972,500m,409m,1000Mi,347Mi,small,44.9,993.110656738281
1721423839.13164,500m,409m,1000Mi,347Mi,small,44.9,844.6364402771
1721423842.18813,500m,409m,1000Mi,347Mi,small,44.9,849.758625030518
1721423845.23075,500m,409m,1000Mi,347Mi,small,44.9,850.193023681641
1721423848.27217,500m,409m,1000Mi,347Mi,small,44.9,849.560499191284
1721423851.31677,500m,409m,1000Mi,347Mi,small,44.9,913.572788238525
1721423854.35841,500m,409m,1000Mi,347Mi,small,44.9,922.685623168945
1721423857.40433,500m,409m,1000Mi,347Mi,small,44.9,817.660570144653
1721423860.48588,500m,409m,1000Mi,347Mi,small,44.9,936.111927032471
1721423863.58517,500m,409m,1000Mi,347Mi,small,44.9,878.048419952393
1721423866.62077,500m,428m,1000Mi,347Mi,small,44.9,890.122890472412
1721423869.68051,500m,428m,1000Mi,347Mi,small,44.9,874.451875686646
1721423872.72714,500m,428m,1000Mi,347Mi,small,44.9,864.014148712158
1721423875.78913,500m,428m,1000Mi,347Mi,small,44.9,907.000303268433
1721423878.82303,500m,428m,1000Mi,347Mi,small,44.9,905.117034912109
1721423881.86802,500m,428m,1000Mi,347Mi,small,44.9,843.204736709595
1721423884.90816,500m,428m,1000Mi,347Mi,small,44.9,856.112003326416
1721423887.95504,500m,428m,1000Mi,347Mi,small,44.9,866.994142532349
1721423891.00803,500m,428m,1000Mi,347Mi,small,44.9,791.322469711304
1721423894.05325,500m,434m,1000Mi,347Mi,small,44.9,862.738609313965
1721423897.08651,500m,434m,1000Mi,347Mi,small,44.9,849.194526672363
1721423900.15125,500m,434m,1000Mi,347Mi,small,44.9,863.563537597656
1721423903.19422,500m,434m,1000Mi,347Mi,small,44.9,856.175661087036
1721423906.23652,500m,434m,1000Mi,347Mi,small,44.9,927.112817764282
1721423909.27766,500m,434m,1000Mi,347Mi,small,44.9,853.511095046997
1721423912.3228,500m,434m,1000Mi,347Mi,small,44.9,836.520433425903
1721423915.38408,500m,434m,1000Mi,347Mi,small,44.9,852.323532104492
1721423918.42244,500m,434m,1000Mi,347Mi,small,44.9,893.376588821411
1721423921.50499,500m,434m,1000Mi,347Mi,small,44.9,879.047632217407
1721423924.61666,500m,430m,1000Mi,348Mi,small,44.9,891.323566436768
1721423927.65606,500m,430m,1000Mi,348Mi,small,44.9,821.868658065796
1721423930.87964,500m,430m,1000Mi,348Mi,small,44.9,954.100847244263
1721423933.92112,500m,430m,1000Mi,348Mi,small,44.9,863.120794296265
1721423936.9634,500m,430m,1000Mi,348Mi,small,44.9,917.802810668945
1721423940.00589,500m,430m,1000Mi,348Mi,small,44.9,876.733303070068
1721423943.04939,500m,430m,1000Mi,348Mi,small,44.9,925.149917602539
1721423946.09243,500m,430m,1000Mi,348Mi,small,44.9,868.882894515991
1721423949.17315,500m,430m,1000Mi,348Mi,small,44.9,821.307897567749
1721423952.21409,500m,430m,1000Mi,348Mi,small,44.9,841.490745544434
1721423955.25142,500m,446m,1000Mi,350Mi,small,44.9,811.113119125366
1721423958.29348,500m,446m,1000Mi,350Mi,small,44.9,917.845010757446
1721423961.34351,500m,446m,1000Mi,350Mi,small,44.9,807.820558547974
1721423964.3943,500m,446m,1000Mi,350Mi,small,44.9,845.360279083252
1721423967.45101,500m,446m,1000Mi,350Mi,small,44.9,875.964879989624
1721423970.49455,500m,446m,1000Mi,350Mi,small,44.9,797.202825546265
1721423973.54314,500m,446m,1000Mi,350Mi,small,44.9,831.137180328369
