time,cpu_request,cpu_usage,memory_request,memory_usage,model,model_acc,processing_delay(ms)
1721418551.50239,1500m,415m,1000Mi,285Mi,nano,37.3,210.597515106201
1721418554.5435,1500m,610m,1000Mi,272Mi,nano,37.3,204.365015029907
1721418557.59255,1500m,610m,1000Mi,272Mi,nano,37.3,208.248138427734
1721418560.63764,1500m,610m,1000Mi,272Mi,nano,37.3,203.795671463013
1721418563.68402,1500m,610m,1000Mi,272Mi,nano,37.3,202.630996704102
1721418566.82783,1500m,610m,1000Mi,272Mi,nano,37.3,202.929019927979
1721418569.90641,1500m,610m,1000Mi,272Mi,nano,37.3,233.087062835693
1721418572.95307,1500m,610m,1000Mi,272Mi,nano,37.3,213.026523590088
1721418575.99203,1500m,610m,1000Mi,272Mi,nano,37.3,203.202724456787
1721418579.02962,1500m,610m,1000Mi,272Mi,nano,37.3,211.652040481567
1721418582.07448,1500m,610m,1000Mi,272Mi,nano,37.3,201.808452606201
1721418585.11274,1500m,339m,1000Mi,272Mi,nano,37.3,205.266952514648
1721418588.15305,1500m,339m,1000Mi,272Mi,nano,37.3,204.65612411499
1721418591.20107,1500m,339m,1000Mi,272Mi,nano,37.3,202.46148109436
1721418594.24488,1500m,339m,1000Mi,272Mi,nano,37.3,200.29091835022
1721418597.28809,1500m,339m,1000Mi,272Mi,nano,37.3,202.159881591797
1721418600.33111,1500m,339m,1000Mi,272Mi,nano,37.3,205.235242843628
1721418603.37589,1500m,339m,1000Mi,272Mi,nano,37.3,209.178686141968
1721418606.42139,1500m,339m,1000Mi,272Mi,nano,37.3,203.314781188965
1721418609.46551,1500m,339m,1000Mi,272Mi,nano,37.3,206.182241439819
1721418612.50396,1500m,339m,1000Mi,272Mi,nano,37.3,205.281496047974
1721418615.5466,1500m,388m,1000Mi,282Mi,nano,37.3,200.501680374145
1721418618.5931,1500m,388m,1000Mi,282Mi,nano,37.3,203.492403030395
1721418621.63549,1500m,388m,1000Mi,282Mi,nano,37.3,205.396890640259
1721418624.68757,1500m,388m,1000Mi,282Mi,nano,37.3,208.218812942505
1721418627.83825,1500m,388m,1000Mi,282Mi,nano,37.3,203.793525695801
1721418630.88618,1500m,388m,1000Mi,282Mi,nano,37.3,212.505340576172
1721418633.93368,1500m,388m,1000Mi,282Mi,nano,37.3,207.736253738403
1721418636.98888,1500m,388m,1000Mi,282Mi,nano,37.3,210.590839385986
1721418640.02925,1500m,388m,1000Mi,282Mi,nano,37.3,207.879543304443
1721418643.07065,1500m,388m,1000Mi,282Mi,nano,37.3,247.110605239868
1721418646.11819,1500m,456m,1000Mi,272Mi,nano,37.3,203.079223632812
1721418649.15718,1500m,456m,1000Mi,272Mi,nano,37.3,203.388690948486
1721418652.19697,1500m,456m,1000Mi,272Mi,nano,37.3,201.891183853149
1721418655.35298,1500m,456m,1000Mi,272Mi,nano,37.3,205.90877532959
1721418658.39019,1500m,456m,1000Mi,272Mi,nano,37.3,204.102039337158
1721418661.43496,1500m,456m,1000Mi,272Mi,nano,37.3,199.543952941895
1721418664.48065,1500m,456m,1000Mi,272Mi,nano,37.3,222.644329071045
1721418667.52757,1500m,456m,1000Mi,272Mi,nano,37.3,203.754663467407
1721418670.64194,1500m,456m,1000Mi,272Mi,nano,37.3,211.434364318848
1721418673.68428,1500m,456m,1000Mi,272Mi,nano,37.3,205.220699310303
1721418676.7306,1500m,438m,1000Mi,286Mi,nano,37.3,210.208892822266
1721418679.7807,1500m,438m,1000Mi,286Mi,nano,37.3,202.423810958862
1721418682.82086,1500m,438m,1000Mi,286Mi,nano,37.3,201.963424682617
1721418685.86982,1500m,438m,1000Mi,286Mi,nano,37.3,212.6305103302
1721418688.91362,1500m,438m,1000Mi,286Mi,nano,37.3,231.632232666016
1721418691.96507,1500m,438m,1000Mi,286Mi,nano,37.3,207.512378692627
1721418695.00248,1500m,438m,1000Mi,286Mi,nano,37.3,201.182842254639
1721418698.05536,1500m,438m,1000Mi,286Mi,nano,37.3,200.839042663574
1721418701.3135,1500m,438m,1000Mi,286Mi,nano,37.3,195.932149887085
1721418704.35208,1500m,346m,1000Mi,272Mi,nano,37.3,206.153154373169
1721418707.39245,1500m,346m,1000Mi,272Mi,nano,37.3,204.959392547607
1721418710.43382,1500m,346m,1000Mi,272Mi,nano,37.3,219.05255317688
1721418713.47901,1500m,346m,1000Mi,272Mi,nano,37.3,203.422546386719
1721418716.55388,1500m,346m,1000Mi,272Mi,nano,37.3,219.601154327393
1721418719.60873,1500m,346m,1000Mi,272Mi,nano,37.3,200.927734375
1721418722.68673,1500m,346m,1000Mi,272Mi,nano,37.3,207.064390182495
1721418725.72959,1500m,346m,1000Mi,272Mi,nano,37.3,208.917140960693
1721418728.88651,1500m,346m,1000Mi,272Mi,nano,37.3,205.404281616211
1721418731.93729,1500m,346m,1000Mi,272Mi,nano,37.3,217.320203781128
1721418734.98043,1500m,465m,1000Mi,272Mi,nano,37.3,202.653408050537
1721418738.02323,1500m,465m,1000Mi,272Mi,nano,37.3,208.984851837158
1721418741.09659,1500m,465m,1000Mi,272Mi,nano,37.3,204.113006591797
1721418744.13843,1500m,465m,1000Mi,272Mi,nano,37.3,208.993196487427
1721418747.18832,1500m,465m,1000Mi,272Mi,nano,37.3,230.926275253296
1721418750.31565,1500m,465m,1000Mi,272Mi,nano,37.3,205.499172210693
1721418753.36503,1500m,465m,1000Mi,272Mi,nano,37.3,213.37103843689
1721418756.40749,1500m,465m,1000Mi,272Mi,nano,37.3,206.17151260376
1721418759.44996,1500m,465m,1000Mi,272Mi,nano,37.3,205.61671257019
1721418762.48756,1500m,465m,1000Mi,272Mi,nano,37.3,201.111316680908
1721418765.53587,1500m,340m,1000Mi,272Mi,nano,37.3,200.321912765503
1721418768.58003,1500m,340m,1000Mi,272Mi,nano,37.3,202.874898910522
1721418771.61854,1500m,340m,1000Mi,272Mi,nano,37.3,204.763650894165
1721418774.66377,1500m,340m,1000Mi,272Mi,nano,37.3,217.466592788696
1721418777.75684,1500m,340m,1000Mi,272Mi,nano,37.3,207.491159439087
1721418780.80397,1500m,340m,1000Mi,272Mi,nano,37.3,205.673456192017
1721418783.84158,1500m,340m,1000Mi,272Mi,nano,37.3,205.716371536255
1721418786.88103,1500m,340m,1000Mi,272Mi,nano,37.3,204.859018325806
1721418789.93965,1500m,340m,1000Mi,272Mi,nano,37.3,217.792510986328
1721418792.97589,1500m,340m,1000Mi,272Mi,nano,37.3,203.571557998657
1721418796.02521,1500m,600m,1000Mi,281Mi,nano,37.3,200.446367263794
1721418799.06681,1500m,600m,1000Mi,281Mi,nano,37.3,204.157590866089
1721418802.19039,1500m,600m,1000Mi,281Mi,nano,37.3,202.924013137817
1721418805.23064,1500m,600m,1000Mi,281Mi,nano,37.3,207.384824752808
1721418808.28377,1500m,600m,1000Mi,281Mi,nano,37.3,204.315900802612
1721418811.32633,1500m,600m,1000Mi,281Mi,nano,37.3,210.720777511597
1721418814.37535,1500m,600m,1000Mi,281Mi,nano,37.3,209.252119064331
1721418817.42228,1500m,600m,1000Mi,281Mi,nano,37.3,211.775779724121
1721418820.516,1500m,600m,1000Mi,281Mi,nano,37.3,208.97912979126
1721418823.55996,1500m,600m,1000Mi,281Mi,nano,37.3,207.796096801758
1721418826.62716,1500m,325m,1000Mi,272Mi,nano,37.3,205.059051513672
1721418829.674,1500m,325m,1000Mi,272Mi,nano,37.3,199.397325515747
1721418832.73173,1500m,325m,1000Mi,272Mi,nano,37.3,202.086210250854
1721418835.77197,1500m,325m,1000Mi,272Mi,nano,37.3,201.499223709106
1721418838.84255,1500m,325m,1000Mi,272Mi,nano,37.3,211.534261703491
1721418841.88649,1500m,325m,1000Mi,272Mi,nano,37.3,204.596519470215
1721418844.92916,1500m,325m,1000Mi,272Mi,nano,37.3,209.46192741394
1721418847.96634,1500m,325m,1000Mi,272Mi,nano,37.3,235.443115234375
1721418851.0383,1500m,325m,1000Mi,272Mi,nano,37.3,207.280397415161
1721418854.08674,1500m,453m,1000Mi,272Mi,nano,37.3,209.130764007568
1721418857.13628,1500m,453m,1000Mi,272Mi,nano,37.3,199.974298477173
1721418860.18152,1500m,453m,1000Mi,272Mi,nano,37.3,204.323530197144
1721418863.22878,1500m,453m,1000Mi,272Mi,nano,37.3,191.901445388794
1721418866.27701,1500m,453m,1000Mi,272Mi,nano,37.3,190.303564071655
1721418869.31777,1500m,453m,1000Mi,272Mi,nano,37.3,201.391220092773
1721418872.37364,1500m,453m,1000Mi,272Mi,nano,37.3,201.977729797363
1721418875.42595,1500m,453m,1000Mi,272Mi,nano,37.3,231.518507003784
1721418878.48688,1500m,453m,1000Mi,272Mi,nano,37.3,232.625246047974
